ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
5634,3392,1,Aaron Maashoh,23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"auto loan,credit-builder loan,personal loan,home equity loan",3,7,11.27,4,Good,809.98,26.82261962,265,No,49.57494921,21.46538026,High_spent_Small_value_payments,312.4940887,Good
5635,3392,2,Aaron Maashoh,23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"auto loan,credit-builder loan,personal loan,home equity loan",3,4,11.27,4,Good,809.98,31.94496006,266,No,49.57494921,21.46538026,Low_spent_Large_value_payments,284.6291625,Good
5636,3392,3,Aaron Maashoh,23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"auto loan,credit-builder loan,personal loan,home equity loan",3,7,11.27,4,Good,809.98,28.60935202,267,No,49.57494921,21.46538026,Low_spent_Medium_value_payments,331.2098629,Good
5637,3392,4,Aaron Maashoh,23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"auto loan,credit-builder loan,personal loan,home equity loan",5,4,6.27,4,Good,809.98,31.37786187,268,No,49.57494921,21.46538026,Low_spent_Small_value_payments,223.4513097,Good
5638,3392,5,Aaron Maashoh,23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"auto loan,credit-builder loan,personal loan,home equity loan",6,4,11.27,4,Good,809.98,24.79734691,269,No,49.57494921,21.46538026,High_spent_Medium_value_payments,341.489231,Good
5639,3392,6,Aaron Maashoh,23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"auto loan,credit-builder loan,personal loan,home equity loan",8,4,9.27,4,Good,809.98,27.26225871,270,No,49.57494921,21.46538026,High_spent_Medium_value_payments,340.4792118,Good
5640,3392,7,Aaron Maashoh,23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"auto loan,credit-builder loan,personal loan,home equity loan",3,8,11.27,4,Good,809.98,22.53759303,271,No,49.57494921,21.46538026,Low_spent_Small_value_payments,244.5653167,Good
5641,3392,8,Aaron Maashoh,23,821000265,Scientist,19114.12,1824.843333,3,4,3,4,"auto loan,credit-builder loan,personal loan,home equity loan",3,6,11.27,4,Good,809.98,23.9337948,272,No,49.57494921,21.46538026,High_spent_Medium_value_payments,358.1241676,Standard
5646,8625,1,Rick Rothackerj,28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,credit-builder loan,3,4,5.42,2,Good,605.03,24.46403064,319,No,18.81621457,39.68401842,Low_spent_Small_value_payments,470.6906269,Standard
5647,8625,2,Rick Rothackerj,28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,credit-builder loan,7,1,7.42,2,Good,605.03,38.55084843,320,No,18.81621457,39.68401842,High_spent_Large_value_payments,484.5912143,Good
5648,8625,3,Rick Rothackerj,28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,credit-builder loan,3,1,5.42,2,Good,605.03,33.22495079,321,No,18.81621457,39.68401842,High_spent_Large_value_payments,466.4664764,Standard
5649,8625,4,Rick Rothackerj,28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,credit-builder loan,3,3,5.42,2,Good,605.03,39.18265566,322,No,18.81621457,39.68401842,Low_spent_Medium_value_payments,465.6762241,Good
5650,8625,5,Rick Rothackerj,28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,credit-builder loan,3,1,6.42,2,Good,605.03,34.97789475,323,No,18.81621457,39.68401842,Low_spent_Small_value_payments,444.8670319,Good
5651,8625,6,Rick Rothackerj,28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,credit-builder loan,3,0,5.42,2,Good,605.03,33.3810102,324,No,18.81621457,39.68401842,High_spent_Large_value_payments,481.5052619,Good
5652,8625,7,Rick Rothackerj,28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,credit-builder loan,3,4,5.42,2,Good,605.03,31.13170161,325,NM,18.81621457,39.68401842,High_spent_Medium_value_payments,464.8806779,Good
5653,8625,8,Rick Rothackerj,28,4075839,Teacher,34847.84,3037.986667,2,4,6,1,credit-builder loan,3,4,5.42,2,Good,605.03,32.93385629,326,No,18.81621457,39.68401842,Low_spent_Small_value_payments,356.0781086,Good
5658,11708,1,Langep,34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"auto loan,auto loan,not specified",5,8,7.1,3,Good,1303.01,28.61673482,213,No,246.9923195,168.4137027,High_spent_Small_value_payments,1043.315978,Good
5659,11708,2,Langep,34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"auto loan,auto loan,not specified",13,6,7.1,3,Good,1303.01,41.70257342,214,No,246.9923195,168.4137027,High_spent_Small_value_payments,998.8692968,Good
5660,11708,3,Langep,34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"auto loan,auto loan,not specified",8,7,11.1,3,Good,1303.01,26.51981539,215,No,246.9923195,168.4137027,High_spent_Small_value_payments,715.7413674,Good
5661,11708,4,Langep,34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"auto loan,auto loan,not specified",8,5,9.1,3,Good,1303.01,39.50164811,216,No,246.9923195,168.4137027,Low_spent_Medium_value_payments,426.5134106,Good
5662,11708,5,Langep,34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"auto loan,auto loan,not specified",10,5,7.1,3,Good,1303.01,31.37614957,217,No,246.9923195,168.4137027,Low_spent_Large_value_payments,810.7821527,Good
5663,11708,6,Langep,34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"auto loan,auto loan,not specified",8,6,7.1,3,Good,1303.01,39.78399346,218,No,246.9923195,168.4137027,High_spent_Medium_value_payments,963.9215811,Good
5664,11708,7,Langep,34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"auto loan,auto loan,not specified",8,6,7.1,3,Good,1303.01,38.06862363,219,No,246.9923195,168.4137027,High_spent_Small_value_payments,968.5555174,Standard
5665,11708,8,Langep,34,486853974,Engineer,143162.64,12187.22,1,5,8,3,"auto loan,auto loan,not specified",8,6,7.1,3,Good,1303.01,38.37475295,220,No,246.9923195,168.4137027,High_spent_Small_value_payments,895.4945832,Standard
5670,47249,1,Jasond,54,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,not specified,0,6,1.99,4,Good,632.46,26.54422872,207,No,16.41545166,29.39331143,Low_spent_Large_value_payments,433.604773,Standard
5671,47249,2,Jasond,54,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,not specified,5,3,1.99,4,Good,632.46,35.27998178,208,No,16.41545166,29.39331143,Low_spent_Small_value_payments,409.9518118,Standard
5672,47249,3,Jasond,55,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,not specified,3,9,1.99,4,Good,632.46,32.30116343,209,NM,16.41545166,29.39331143,High_spent_Medium_value_payments,411.4271229,Standard
5673,47249,4,Jasond,55,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,not specified,7,6,1.99,4,Good,632.46,38.13234819,210,No,16.41545166,29.39331143,Low_spent_Small_value_payments,262.4995943,Standard
5674,47249,5,Jasond,55,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,not specified,5,6,1.99,4,Good,632.46,41.15431655,211,No,16.41545166,29.39331143,Low_spent_Large_value_payments,359.3749155,Standard
5675,47249,6,Jasond,55,72316145,Entrepreneur,30689.89,2612.490833,2,5,4,1,not specified,5,6,1.99,4,Good,632.46,27.44542179,212,No,16.41545166,29.39331143,High_spent_Small_value_payments,419.8807835,Standard
